epoch	loss	train_accuracy	validation
63	7.0812	0.9622	0.7700
62	6.6274	0.9733	0.7300
61	7.6589	0.9533	0.7200
60	7.6594	0.9600	0.7300
59	8.0066	0.9511	0.7300
58	7.7230	0.9578	0.7100
57	7.3728	0.9733	0.7300
56	8.4034	0.9667	0.7300
55	9.9103	0.9244	0.7300
54	8.6280	0.9578	0.7500
53	9.0182	0.9422	0.7300
52	9.7509	0.9400	0.7000
51	9.2071	0.9444	0.7400
50	9.5353	0.9489	0.6900
49	10.5977	0.9356	0.7400
48	10.0308	0.9289	0.7300
47	10.5661	0.9556	0.7300
46	11.2949	0.9267	0.7300
45	11.1841	0.9356	0.7500
44	11.6211	0.9311	0.7400
43	12.6211	0.9022	0.7300
42	12.8463	0.9156	0.7100
41	12.4956	0.9156	0.7200
40	13.5725	0.9000	0.7200
39	13.5101	0.9022	0.7200
38	13.7253	0.9089	0.7600
37	14.4092	0.8889	0.7600
36	14.8369	0.9044	0.7000
35	15.9414	0.8867	0.7100
34	15.4193	0.8822	0.7600
33	16.7272	0.8667	0.7000
32	16.8913	0.8622	0.7300
31	17.5725	0.8489	0.7000
30	17.9296	0.8356	0.7500
29	19.2089	0.8444	0.7000
28	19.2758	0.8244	0.6900
27	19.9047	0.8222	0.7200
26	20.0838	0.8244	0.6900
25	21.1065	0.8178	0.7000
24	21.6206	0.8000	0.7300
23	22.3249	0.8000	0.7000
22	23.7739	0.7600	0.7000
21	23.6589	0.7911	0.7000
20	24.7328	0.7400	0.6600
19	24.8074	0.7778	0.6500
18	25.4029	0.7378	0.6700
17	26.1095	0.7333	0.6900
16	26.7599	0.7289	0.6800
15	27.4711	0.7111	0.6500
14	27.7031	0.7178	0.6900
13	28.1689	0.7044	0.6500
12	28.6452	0.7067	0.6200
11	29.0242	0.6733	0.6800
10	29.5438	0.6711	0.6900
9	29.7917	0.6400	0.6800
8	29.9832	0.6289	0.6900
7	29.8852	0.6333	0.6400
6	30.5798	0.6044	0.6700
5	30.5120	0.5933	0.6400
4	30.8644	0.5822	0.6100
3	31.0906	0.5400	0.6100
2	31.2810	0.5333	0.5500
1	31.3775	0.4978	0.5600
